idx,count
0,1
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,0
17,2
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,2
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,3
151,0
152,0
153,1
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,2
179,2
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,2
199,0
200,2
201,1
202,2
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,0
222,2
223,0
224,1
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,2
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,3
251,0
252,0
253,0
254,1
255,2
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,2
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,2
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,0
385,0
386,0
387,0
388,2
389,1
390,0
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,1
406,1
407,1
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,3
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,2
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,2
458,0
459,0
460,0
461,1
462,0
463,2
464,0
465,0
466,2
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,1
499,0
500,2
501,1
502,0
503,2
504,1
505,0
506,1
507,0
508,0
509,0
510,0
511,2
512,0
513,0
514,1
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,1
531,0
532,0
533,0
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,2
543,0
544,2
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,1
555,1
556,0
557,0
558,0
559,1
560,1
561,0
562,0
563,0
564,0
565,2
566,1
567,0
568,1
569,0
570,1
571,0
572,0
573,0
574,0
575,2
576,1
577,0
578,1
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,1
587,1
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,1
606,0
607,0
608,1
609,1
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,0
629,0
630,1
631,0
632,1
633,0
634,1
635,1
636,2
637,1
638,0
639,2
640,0
641,0
642,1
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,2
654,1
655,0
656,1
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,1
672,1
673,0
674,0
675,1
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,1
692,0
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,1
704,0
705,0
706,0
707,1
708,0
709,0
710,2
711,0
712,0
713,1
714,0
715,0
716,1
717,0
718,0
719,1
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,0
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,0
736,1
737,0
738,0
739,0
740,1
741,0
742,0
743,1
744,0
745,2
746,0
747,0
748,0
749,1
750,0
751,2
752,0
753,1
754,0
755,0
756,0
757,1
758,0
759,1
760,0
761,0
762,1
763,1
764,0
765,1
766,1
767,0
768,0
769,0
770,0
771,0
772,1
773,0
774,1
775,0
776,0
777,0
778,0
779,0
780,0
781,1
782,1
783,1
784,0
785,0
786,0
787,2
788,0
789,1
790,1
791,0
792,1
793,0
794,1
795,1
796,0
797,0
798,0
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,1
808,3
809,0
810,1
811,0
812,0
813,0
814,3
815,2
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,1
825,0
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,0
835,0
836,0
837,0
838,1
839,0
840,1
841,0
842,1
843,1
844,0
845,0
846,0
847,0
848,0
849,1
850,1
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,1
859,1
860,2
861,0
862,1
863,0
864,1
865,0
866,0
867,2
868,0
869,0
870,0
871,1
872,2
873,1
874,1
875,0
876,0
877,0
878,1
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,1
887,0
888,1
889,0
890,1
891,0
892,1
893,1
894,1
895,0
896,0
897,0
898,1
899,1
900,1
901,1
902,0
903,1
904,0
905,3
906,1
907,0
908,1
909,1
910,0
911,1
912,0
913,0
914,0
915,0
916,0
917,0
918,1
919,0
920,0
921,0
922,0
923,0
924,0
925,1
926,0
927,0
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,0
942,0
943,1
944,0
945,1
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,1
954,2
955,0
956,4
957,0
958,1
959,1
960,0
961,0
962,0
963,2
964,0
965,1
966,1
967,1
968,0
969,1
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,0
982,0
983,0
984,1
985,0
986,1
987,0
988,1
989,0
990,0
991,0
992,0
993,1
994,0
995,1
996,1
997,0
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,5
1009,0
1010,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,0
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,1
1031,0
1032,0
1033,1
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,2
1041,0
1042,0
1043,1
1044,2
1045,0
1046,2
1047,1
1048,0
1049,0
1050,1
1051,0
1052,2
1053,0
1054,0
1055,2
1056,0
1057,1
1058,1
1059,0
1060,0
1061,1
1062,0
1063,0
1064,1
1065,0
1066,1
1067,3
1068,0
1069,3
1070,1
1071,1
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,1
1079,0
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,0
1089,0
1090,0
1091,1
1092,2
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,1
1102,0
1103,0
1104,2
1105,0
1106,0
1107,1
1108,0
1109,1
1110,2
1111,0
1112,0
1113,0
1114,1
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,2
1126,1
1127,1
1128,0
1129,0
1130,1
1131,1
1132,0
1133,1
1134,1
1135,0
1136,1
1137,0
1138,1
1139,1
1140,1
1141,1
1142,0
1143,1
1144,0
1145,1
1146,1
1147,0
1148,1
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,1
1157,1
1158,0
1159,2
1160,0
1161,0
1162,0
1163,1
1164,0
1165,1
1166,2
1167,0
1168,0
1169,0
1170,0
1171,1
1172,0
1173,2
1174,1
1175,0
1176,0
1177,0
1178,2
1179,2
1180,0
1181,0
1182,0
1183,1
1184,0
1185,0
1186,0
1187,1
1188,0
1189,0
1190,0
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,1
1199,2
1200,1
1201,1
1202,0
1203,2
1204,0
1205,0
1206,1
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,2
1219,2
1220,0
1221,0
1222,1
1223,1
1224,2
1225,0
1226,1
1227,0
1228,1
1229,1
1230,0
