university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
udeconcepcion,6004363437290442,xRodzantillsZfa,385,1036,354,Fri Jun 29 00:15:31 +0000 2012
pucv_cl,1263261420914845440,Fc0oChamorrB,2098,464,265,Fri Jan 21 16:34:14 +0000 2011
pucv_cl,4286144277730457,AlexanraVliz,478,649,103,Wed Oct 05 20:05:52 +0000 2011
usantamaria,4006276714472274,criskwee_,91,130,12,Sat Apr 11 03:45:36 +0000 2020
pucv_cl,1134174378200802048,daielbcrrillY,1964,1157,462,Thu Sep 30 21:24:59 +0000 2010
pucv_cl,1171320811885289216,sl9_Aa2,1326,1410,464,Fri Dec 31 00:26:46 +0000 2010
pucv_cl,1192031776915604992,Nlearamo5,2573,1732,467,Thu Aug 20 15:29:37 +0000 2009
uchile,1405785422012382,valeandkag,95,93,6,Thu Nov 14 13:41:38 +0000 2019
pucv_cl,9716882817753336,aroite1Q,61,247,29,Mon Dec 19 20:00:06 +0000 2011
pucv_cl,2915513261434519,exDeonne2905,3306,383,80,Thu Jan 28 01:32:41 +0000 2010
pucv_cl,711647141111864,joiaaa,7322,2034,570,Mon Jan 31 15:48:40 +0000 2011
pucv_cl,1073526595131672960,FemvigpEiv4n,13,166,25,Mon Mar 01 17:45:54 +0000 2010
pucv_cl,1235722428533843200,FcoMidarigaA,497,571,214,Tue Jun 28 20:28:18 +0000 2011
pucv_cl,1169820235631633664,tevaido,6,37,8,Fri May 10 00:06:24 +0000 2013
pucv_cl,899082394126551168,Electronica_AC,9,65,0,Mon Apr 27 17:36:53 +0000 2020
pucv_cl,10701297650654246,JjPLhrGa,13891,1512,985,Sat Mar 06 23:05:01 +0000 2010
UFrontera,11826685227095690,7mrrunh1c,213,260,74,Thu Jun 16 22:45:11 +0000 2016
pucv_cl,3488297825268640,wLePeiS1Blen,22526,597,146,Wed Feb 02 14:44:34 +0000 2011
ucatolica_chile,12619635213075128,LuisJBlcOo,280,1337,115,Thu Feb 13 20:06:37 +0000 2014
ucatolica_chile,11524261861068076,IaXici2660I27,0,6,0,Sat Mar 07 18:44:22 +0000 2020
